food_id,protein,fat,endorsement
1597,17.3,8.9,Moderate Food
481,79.2,41.2,Premium Food
882,2.6,0.8,Low Fat
140,10.0,7.0,Moderate Food
1398,0.0,4.5,Low Fat
2081,1.6,0.4,Low Fat
1433,6.2,13.5,Premium Food
447,30.4,20.9,Premium Food
992,19.2,16.3,Premium Food
1537,2.4,1.6,Low Fat
1965,10.7,17.6,Premium Food
2132,0.0,218.0,Premium Food
573,4.5,9.7,Moderate Food
1203,3.7,3.9,Low Fat
1363,0.0,0.088,Low Fat
2254,42.0,7.4,Moderate Food
786,1.0,0.7,Low Fat
910,5.2,6.0,Moderate Food
1918,1.0,0.3,Low Fat
874,4.8,13.3,Premium Food
1031,3.7,2.6,Low Fat
575,33.8,12.2,Premium Food
2103,23.3,2.0,Low Fat
2375,2.4,12.7,Premium Food
1589,2.6,18.6,Premium Food
1742,11.7,16.1,Premium Food
331,0.2,0.1,Low Fat
312,0.028,0.7,Low Fat
1362,1.4,0.4,Low Fat
2255,11.0,4.4,Low Fat
1630,6.7,20.5,Premium Food
1258,13.8,1.0,Low Fat
664,2.8,0.2,Low Fat
260,2.4,0.5,Low Fat
2233,65.9,25.8,Premium Food
1521,2.7,0.7,Low Fat
322,0.2,0.089,Low Fat
47,4.2,5.0,Moderate Food
1063,2.2,3.7,Low Fat
1470,0.5,0.9,Low Fat
1725,0.2,6.7,Moderate Food
1161,28.5,1.3,Low Fat
450,12.4,6.5,Moderate Food
1744,0.9,0.1,Low Fat
1842,1.9,0.3,Low Fat
2343,4.1,0.4,Low Fat
326,1.1,3.6,Low Fat
706,5.8,24.6,Premium Food
2035,2.3,0.2,Low Fat
755,7.5,8.3,Moderate Food
1989,4.4,0.4,Low Fat
922,1.1,0.2,Low Fat
2289,7.2,3.0,Low Fat
1491,13.0,95.5,Premium Food
1257,2.5,3.8,Low Fat
507,1.0,0.5,Low Fat
2012,2.7,1.0,Low Fat
74,0.6,0.3,Low Fat
665,1.2,2.3,Low Fat
2203,6.5,63.7,Premium Food
1333,1.3,0.5,Low Fat
1173,25.8,4.8,Low Fat
1344,3.9,2.1,Low Fat
2068,0.087,0.5,Low Fat
725,5.4,20.8,Premium Food
2026,2.4,0.9,Low Fat
615,1.8,0.3,Low Fat
1715,15.8,4.9,Low Fat
866,0.3,0.1,Low Fat
409,0.2,4.0,Low Fat
2005,9.7,1.5,Low Fat
1558,65.0,88.3,Premium Food
1892,3.5,0.4,Low Fat
641,5.4,0.4,Low Fat
2067,13.0,6.2,Moderate Food
2354,1.1,0.2,Low Fat
1110,75.7,11.8,Premium Food
2087,1.0,0.1,Low Fat
891,4.3,0.086,Low Fat
1569,41.2,18.0,Premium Food
1817,25.2,34.1,Premium Food
375,0.8,1.6,Low Fat
1248,5.2,0.3,Low Fat
538,2.5,0.4,Low Fat
367,0.033,0.063,Low Fat
590,0.1,0.098,Low Fat
226,1.6,0.5,Low Fat
364,1.2,1.6,Low Fat
1936,28.6,15.4,Premium Food
498,2.7,11.9,Premium Food
379,12.2,10.4,Premium Food
265,7.0,8.9,Moderate Food
2085,1.4,0.2,Low Fat
1404,0.7,0.4,Low Fat
681,10.6,3.0,Low Fat
1926,40.0,7.8,Moderate Food
1239,12.8,5.1,Moderate Food
1645,0.2,0.086,Low Fat
1544,1.6,3.7,Low Fat
177,100.1,36.0,Premium Food
783,0.8,0.2,Low Fat
2322,15.3,4.0,Low Fat
2158,24.3,22.9,Premium Food
652,0.0,0.3,Low Fat
976,0.3,0.4,Low Fat
1525,1.2,0.3,Low Fat
1228,27.7,21.7,Premium Food
849,4.0,18.1,Premium Food
2313,3.5,1.0,Low Fat
641,5.4,0.4,Low Fat
161,6.6,5.1,Moderate Food
273,0.7,0.3,Low Fat
1587,49.8,9.3,Moderate Food
2148,16.5,5.3,Moderate Food
531,79.1,20.3,Premium Food
1077,0.005,0.069,Low Fat
499,0.2,3.6,Low Fat
397,0.4,0.002,Low Fat
1403,4.1,7.0,Moderate Food
209,27.2,36.0,Premium Food
2001,3.1,7.8,Moderate Food
877,10.2,18.6,Premium Food
147,2.8,8.8,Moderate Food
370,1.0,0.8,Low Fat
2091,0.0,0.2,Low Fat
916,35.2,30.7,Premium Food
2086,1.6,0.2,Low Fat
427,17.9,2.2,Low Fat
1931,18.0,0.1,Low Fat
1353,0.4,0.048,Low Fat
981,0.0,6.0,Moderate Food
294,9.1,8.1,Moderate Food
742,26.6,39.7,Premium Food
2180,30.7,13.9,Premium Food
1021,0.5,0.5,Low Fat
780,1.3,2.3,Low Fat
676,0.3,14.7,Premium Food
1301,3.5,17.2,Premium Food
92,3.5,3.1,Low Fat
2126,6.3,3.3,Low Fat
1525,1.2,0.3,Low Fat
1360,0.8,0.3,Low Fat
1012,0.0,0.2,Low Fat
420,23.4,12.4,Premium Food
323,0.9,0.3,Low Fat
248,44.9,9.4,Moderate Food
869,4.1,1.9,Low Fat
2140,4.1,8.8,Moderate Food
312,0.028,0.7,Low Fat
1623,1.1,0.006,Low Fat
340,1.9,0.3,Low Fat
1517,0.083,0.073,Low Fat
1258,13.8,1.0,Low Fat
2334,15.9,3.0,Low Fat
131,1.2,0.1,Low Fat
1361,1.5,0.2,Low Fat
846,0.2,0.4,Low Fat
1311,15.0,1.1,Low Fat
996,23.8,18.2,Premium Food
1159,44.2,2.7,Low Fat
604,8.1,4.5,Low Fat
373,5.0,10.0,Moderate Food
466,0.1,0.032,Low Fat
1643,0.0,0.009,Low Fat
1119,75.2,97.3,Premium Food
978,0.2,0.2,Low Fat
1704,23.8,23.6,Premium Food
2212,57.7,13.4,Premium Food
71,4.2,0.2,Low Fat
44,0.5,0.3,Low Fat
2330,37.8,11.6,Premium Food
1113,52.7,34.9,Premium Food
2214,98.4,17.2,Premium Food
410,17.3,4.5,Low Fat
819,0.3,0.008,Low Fat
549,3.3,1.2,Low Fat
1283,4.6,5.5,Moderate Food
1898,0.1,2.7,Low Fat
2200,0.7,3.0,Low Fat
160,8.1,1.3,Low Fat
1247,3.5,0.6,Low Fat
1710,0.042,0.026,Low Fat
2220,62.9,23.8,Premium Food
239,0.3,0.4,Low Fat
